iata_code,name,continent,iso_country,municipality
MMK,Murmansk Airport,EU,RU,Murmansk
NVR,Novgorod Airport,EU,RU,Velikiy Novgorod
VLU,Velikiye Luki Airport,EU,RU,Velikiye Luki
PKV,Pskov Airport,EU,RU,Pskov
PES,Petrozavodsk Airport,EU,RU,Petrozavodsk
RVH,Rzhevka Airport,EU,RU,St. Petersburg
VGD,Vologda Airport,EU,RU,Vologda
BQT,Brest Airport,EU,BY,Brest
GME,Gomel Airport,EU,BY,Gomel
VTB,Vitebsk Vostochny Airport,EU,BY,Vitebsk
KGD,Khrabrovo Airport,EU,RU,Kaliningrad
GNA,Hrodna Airport,EU,BY,Hrodna
MHP,Minsk 1 Airport,EU,BY,Minsk
MSQ,Minsk National Airport,EU,BY,Minsk
MVQ,Mogilev Airport,EU,BY,Mogilev
ABA,Abakan Airport,AS,RU,Abakan
BAX,Barnaul Airport,AS,RU,Barnaul
RGK,Gorno-Altaysk Airport,AS,RU,Gorno-Altaysk
KEJ,Kemerovo Airport,AS,RU,Kemerovo
EIE,Yeniseysk Airport,AS,RU,Yeniseysk
TGP,Podkamennaya Tunguska Airport,EU,RU,Bor
KJA,Yemelyanovo Airport,EU,RU,Krasnoyarsk
ACS,Achinsk Airport,AS,RU,Achinsk
KYZ,Kyzyl Airport,AS,RU,Kyzyl
OVB,Tolmachevo Airport,AS,RU,Novosibirsk
OMS,Omsk Central Airport,AS,RU,Omsk
SWT,Strezhevoy Airport,AS,RU,Strezhevoy
TOF,Bogashevo Airport,AS,RU,Tomsk
NOZ,Spichenkovo Airport,EU,RU,Novokuznetsk
DKS,Dikson Airport,AS,RU,Dikson
HTG,Khatanga Airport,AS,RU,Khatanga
IAA,Igarka Airport,AS,RU,Igarka
NSK,Norilsk-Alykel Airport,AS,RU,Norilsk
THX,Turukhansk Airport,AS,RU,Turukhansk
URB,Urubupunga Airport,SA,BR,Castilho
AAQ,Anapa Vityazevo Airport,EU,RU,Anapa
EIK,Yeysk Airport,EU,RU,Yeysk
GDZ,Gelendzhik Airport,EU,RU,Gelendzhik
KRR,Krasnodar Pashkovsky International Airport,EU,RU,Krasnodar
MCX,Uytash Airport,EU,RU,Makhachkala
MRV,Mineralnyye Vody Airport,EU,RU,Mineralnyye Vody
NAL,Nalchik Airport,EU,RU,Nalchik
OGZ,Beslan Airport,EU,RU,Beslan
IGT,Magas Airport,EU,RU,Magas
STW,Stavropol Shpakovskoye Airport,EU,RU,Stavropol
ROV,Platov International Airport,EU,RU,Rostov-on-Don
RVI,Rostov-on-Don Airport,EU,RU,Rostov-on-Don
TGK,Taganrog Yuzhny Airport,EU,RU,Taganrog
VLK,Volgodonsk Airport,EU,RU,
AER,Sochi International Airport,EU,RU,Sochi
ASF,Astrakhan Airport,EU,RU,Astrakhan
ESL,Elista Airport,EU,RU,Elista
VOG,Volgograd International Airport,EU,RU,Volgograd
LHU,Havasu Airpark,NA,US,
AHT,Amchitka Army Airfield,NA,US,Amchitka Island
BNH,Cape Air Seaplanes on Boston Harbor Seaplane Base,NA,US,Boston
XWA,Williston Basin International Airport,NA,US,Williston
RTL,Spirit Lake Municipal Airport,NA,US,Spirit Lake
BPA,Grumman Bethpage Airport,NA,US,Bethpage
CEK,Chelyabinsk Balandino Airport,EU,RU,Chelyabinsk
MQF,Magnitogorsk International Airport,EU,RU,Magnitogorsk
SBT,Sabetta International Airport,EU,RU,Sabetta
SLY,Salekhard Airport,AS,RU,Salekhard
YMK,Mys Kamenny Airport,AS,RU,Mys Kamennyi
KKQ,Krasnoselkup Airport,EU,RU,Krasnoselkup
TQL,Tarko-Sale Airport,AS,RU,Tarko-Sale
UEN,Urengoy Airport,EU,RU,Urengoy
EZV,Berezovo Airport,AS,RU,
HMA,Khanty Mansiysk Airport,AS,RU,Khanty-Mansiysk
IRM,Igrim Airport,AS,RU,
NYA,Nyagan Airport,EU,RU,Nyagan
OVS,Sovetskiy Airport,AS,RU,Sovetskiy
URJ,Uray Airport,AS,RU,Uray
EYK,Beloyarskiy Airport,EU,RU,
IJK,Izhevsk Airport,EU,RU,Izhevsk
KVX,Pobedilovo Airport,EU,RU,Kirov
NYM,Nadym Airport,AS,RU,Nadym
NUX,Novy Urengoy Airport,AS,RU,Novy Urengoy
NJC,Nizhnevartovsk Airport,AS,RU,Nizhnevartovsk
RAT,Raduzhny Airport,AS,RU,Raduzhnyi
USO,Usino Airport,OC,PG,Usino
PEE,Bolshoye Savino Airport,EU,RU,Perm
KGP,Kogalym International Airport,AS,RU,Kogalym
NFG,Nefteyugansk Airport,AS,RU,Nefteyugansk
NOJ,Noyabrsk Airport,AS,RU,Noyabrsk
SGC,Surgut Airport,AS,RU,Surgut
